Year,TempC
1900,12.16666667
1901,11.94444444
1902,11.16666667
1903,10.33333333
1904,11
1905,10.94444444
1906,10.66666667
1907,11.33333333
1908,10.05555556
1909,11
1910,12.5
1911,10.66666667
1912,10.5
1913,10.72222222
1914,11.77777778
1915,11.77777778
1916,10.61111111
1917,10.38888889
1918,11.27777778
1919,11.38888889
1920,10.72222222
1921,12.44444444
1922,10.66666667
1923,10.44444444
1924,10.83333333
1925,11.72222222
1926,12.16666667
1927,11.38888889
1928,10.38888889
1929,9.611111111
1930,9.666666667
1931,9.944444444
1932,9
1933,10.27777778
1934,12.94444444
1935,11.05555556
1936,11.22222222
1937,10.77777778
1938,11.11111111
1939,10.94444444
1940,12.11111111
1941,10.83333333
1942,9.833333333
1943,11.22222222
1944,9.666666667
1945,10.27777778
1946,11.11111111
1947,10.88888889
1948,10.33333333
1949,10.05555556
1950,10.88888889
1951,10.22222222
1952,10.61111111
1953,11.77777778
1954,11.55555556
1955,9.777777778
1956,10.83333333
1957,10.94444444
1958,12
1959,10.94444444
1960,11.05555556
1961,11.27777778
1962,10.33333333
1963,10.5
1964,9.055555556
1965,10.27777778
1966,11.33333333
1967,11.05555556
1968,10.16666667
1969,11.11111111
1970,10.88888889
1971,10.27777778
1972,11.27777778
1973,10.77777778
1974,11.61111111
1975,10.44444444
1976,10.88888889
1977,11.77777778
1978,11.83333333
1979,11.5
1980,11.55555556
1981,12.38888889
1982,10.55555556
1983,11.94444444
1984,10.55555556
1985,11.05555556
1986,11.5
1987,11.88888889
1988,11.83333333
1989,11.22222222
1990,11.88888889
1991,11
1992,12
1993,10.16666667
1994,12.61111111
1995,12.16666667
1996,12.38888889
1997,12.11111111
1998,11.44444444
1999,12.16666667
2000,12.22222222
2001,11.94444444
2002,12.66666667
2003,12.16666667
2004,12.61111111
2005,12.33333333
2006,12.77777778
2007,11.83333333
2008,11.72222222
2009,12.44444444
2010,11.88888889
2011,10.61111111
2012,11.94444444
2013,11.27777778
2014,11.77777778
2015,12.66666667
2016,12.44444444
2017,12.61111111
2018,12.05555556
2019,11.94444444
2020,11.72222222
2021,12.5
2022,12.22222222
2023,12.16666667
